id,year,cob_bf,p_ab_lp,ubs_p_100_h
1100015,2010,,,
1100015,2011,,,
1100015,2012,,,
1100015,2013,,,
1100015,2014,,,
1100015,2015,71.4,80.7,"0,16"
1100015,2016,70.12,76.45,"0,16"
1100015,2017,66.31,67.81,"0,12"
1100015,2018,,,"0,17"
1100015,2019,,,"0,17"
1100015,2020,,,"0,18"
1100023,2010,,,
1100023,2011,,,
1100023,2012,,,
1100023,2013,,,
1100023,2014,,,
1100023,2015,56.68,64.03,"0,11"
1100023,2016,55.72,62.3,"0,10"
1100023,2017,57.66,63.52,"0,13"
1100023,2018,,,"0,12"
1100023,2019,,,"0,12"
1100023,2020,,,"0,12"
1100031,2010,,,
1100031,2011,,,
1100031,2012,,,
1100031,2013,,,
1100031,2014,,,
1100031,2015,65.2,62.55,"0,16"
1100031,2016,53.62,61.24,"0,16"
1100031,2017,47.87,52.06,"0,16"
1100031,2018,,,"0,18"
1100031,2019,,,"0,57"
1100031,2020,,,"0,39"
1100049,2010,,,
1100049,2011,,,
1100049,2012,,,
1100049,2013,,,
1100049,2014,,,
1100049,2015,54.09,62.21,"0,10"
1100049,2016,49.82,56.35,"0,10"
1100049,2017,47.86,52.71,"0,09"
1100049,2018,,,"0,13"
1100049,2019,,,"0,13"
1100049,2020,,,"0,13"
1100056,2010,,,
1100056,2011,,,
1100056,2012,,,
1100056,2013,,,
1100056,2014,,,
1100056,2015,66.61,76.89,"0,22"
1100056,2016,61.62,70.54,"0,22"
1100056,2017,46.38,51.82,"0,22"
1100056,2018,,,"0,24"
1100056,2019,,,"0,18"
1100056,2020,,,"0,25"
1100064,2010,,,
1100064,2011,,,
1100064,2012,,,
1100064,2013,,,
1100064,2014,,,
1100064,2015,62.61,53.28,"0,21"
1100064,2016,40.23,43.36,"0,22"
1100064,2017,37.19,38.13,"0,22"
1100064,2018,,,"0,25"
1100064,2019,,,"0,25"
1100064,2020,,,"0,32"
1100072,2010,,,
1100072,2011,,,
1100072,2012,,,
1100072,2013,,,
1100072,2014,,,
1100072,2015,77.43,83.18,"0,00"
1100072,2016,68.84,76.49,"0,00"
1100072,2017,57.84,70.84,"0,00"
1100072,2018,,,"0,00"
1100072,2019,,,"0,00"
1100072,2020,,,"0,55"
1100080,2010,,,
1100080,2011,,,
1100080,2012,,,
1100080,2013,,,
1100080,2014,,,
1100080,2015,89.47,91.62,"0,12"
1100080,2016,86.68,90.98,"0,18"
