cod,nome,year,pop
1100015,Alta Floresta D'Oeste (RO),2011,24228
1100015,Alta Floresta D'Oeste (RO),2012,24069
1100015,Alta Floresta D'Oeste (RO),2013,25728
1100015,Alta Floresta D'Oeste (RO),2014,25652
1100015,Alta Floresta D'Oeste (RO),2015,25578
1100015,Alta Floresta D'Oeste (RO),2016,25506
1100015,Alta Floresta D'Oeste (RO),2017,25437
1100015,Alta Floresta D'Oeste (RO),2018,23167
1100015,Alta Floresta D'Oeste (RO),2019,22945
1100015,Alta Floresta D'Oeste (RO),2020,22728
1100015,Alta Floresta D'Oeste (RO),2021,22516
1100023,Ariquemes (RO),2011,91570
1100023,Ariquemes (RO),2012,92747
1100023,Ariquemes (RO),2013,101269
1100023,Ariquemes (RO),2014,102860
1100023,Ariquemes (RO),2015,104401
1100023,Ariquemes (RO),2016,105896
1100023,Ariquemes (RO),2017,107345
1100023,Ariquemes (RO),2018,106168
1100023,Ariquemes (RO),2019,107863
1100023,Ariquemes (RO),2020,109523
1100023,Ariquemes (RO),2021,111148
1100031,Cabixi (RO),2011,6221
1100031,Cabixi (RO),2012,6132
1100031,Cabixi (RO),2013,6495
1100031,Cabixi (RO),2014,6424
1100031,Cabixi (RO),2015,6355
1100031,Cabixi (RO),2016,6289
1100031,Cabixi (RO),2017,6224
1100031,Cabixi (RO),2018,5438
1100031,Cabixi (RO),2019,5312
1100031,Cabixi (RO),2020,5188
1100031,Cabixi (RO),2021,5067
1100049,Cacoal (RO),2011,78959
1100049,Cacoal (RO),2012,79330
1100049,Cacoal (RO),2013,85863
1100049,Cacoal (RO),2014,86556
1100049,Cacoal (RO),2015,87226
1100049,Cacoal (RO),2016,87877
1100049,Cacoal (RO),2017,88507
1100049,Cacoal (RO),2018,84813
1100049,Cacoal (RO),2019,85359
1100049,Cacoal (RO),2020,85893
1100049,Cacoal (RO),2021,86416
1100056,Cerejeiras (RO),2011,16939
1100056,Cerejeiras (RO),2012,16852
1100056,Cerejeiras (RO),2013,18041
1100056,Cerejeiras (RO),2014,18013
1100056,Cerejeiras (RO),2015,17986
1100056,Cerejeiras (RO),2016,17959
1100056,Cerejeiras (RO),2017,17934
1100056,Cerejeiras (RO),2018,16444
1100056,Cerejeiras (RO),2019,16323
1100056,Cerejeiras (RO),2020,16204
1100056,Cerejeiras (RO),2021,16088
1100064,Colorado do Oeste (RO),2011,18338
1100064,Colorado do Oeste (RO),2012,18093
1100064,Colorado do Oeste (RO),2013,19190
1100064,Colorado do Oeste (RO),2014,19001
1100064,Colorado do Oeste (RO),2015,18817
1100064,Colorado do Oeste (RO),2016,18639
1100064,Colorado do Oeste (RO),2017,18467
1100064,Colorado do Oeste (RO),2018,16227
1100064,Colorado do Oeste (RO),2019,15882
1100064,Colorado do Oeste (RO),2020,15544
1100064,Colorado do Oeste (RO),2021,15213
1100072,Corumbiara (RO),2011,8655
1100072,Corumbiara (RO),2012,8530
1100072,Corumbiara (RO),2013,9036
1100072,Corumbiara (RO),2014,8938
1100072,Corumbiara (RO),2015,8842
1100072,Corumbiara (RO),2016,8749
1100072,Corumbiara (RO),2017,8659
1100072,Corumbiara (RO),2018,7567
1100072,Corumbiara (RO),2019,7391
1100072,Corumbiara (RO),2020,7220
1100072,Corumbiara (RO),2021,7052
1100080,Costa Marques (RO),2011,14023
1100080,Costa Marques (RO),2012,14355
1100080,Costa Marques (RO),2013,15853
1100080,Costa Marques (RO),2014,16258
1100080,Costa Marques (RO),2015,16651
1100080,Costa Marques (RO),2016,17031
1100080,Costa Marques (RO),2017,17400
1100080,Costa Marques (RO),2018,17855
1100080,Costa Marques (RO),2019,18331
1100080,Costa Marques (RO),2020,18798
1100080,Costa Marques (RO),2021,19255
1100098,Espigão D'Oeste (RO),2011,28963
1100098,Espigão D'Oeste (RO),2012,29189
1100098,Espigão D'Oeste (RO),2013,31699
1100098,Espigão D'Oeste (RO),2014,32047
1100098,Espigão D'Oeste (RO),2015,32385
1100098,Espigão D'Oeste (RO),2016,32712
1100098,Espigão D'Oeste (RO),2017,33030
1100098,Espigão D'Oeste (RO),2018,32047
1100098,Espigão D'Oeste (RO),2019,32374
1100098,Espigão D'Oeste (RO),2020,32695
1100098,Espigão D'Oeste (RO),2021,33009
1100106,Guajará-Mirim (RO),2011,41934
1100106,Guajará-Mirim (RO),2012,42202
1100106,Guajará-Mirim (RO),2013,45761
1100106,Guajará-Mirim (RO),2014,46203
1100106,Guajará-Mirim (RO),2015,46632
1100106,Guajará-Mirim (RO),2016,47048
1100106,Guajará-Mirim (RO),2017,47451
1100106,Guajará-Mirim (RO),2018,45783
1100106,Guajará-Mirim (RO),2019,46174
1100106,Guajará-Mirim (RO),2020,46556
1100106,Guajará-Mirim (RO),2021,46930
1100114,Jaru (RO),2011,51883
1100114,Jaru (RO),2012,51765
1100114,Jaru (RO),2013,55597
1100114,Jaru (RO),2014,55669
1100114,Jaru (RO),2015,55738
1100114,Jaru (RO),2016,55806
1100114,Jaru (RO),2017,55871
1100114,Jaru (RO),2018,51933
1100114,Jaru (RO),2019,51775
1100114,Jaru (RO),2020,51620
1100114,Jaru (RO),2021,51469
1100122,Ji-Paraná (RO),2011,117363
1100122,Ji-Paraná (RO),2012,118092
1100122,Ji-Paraná (RO),2013,128026
1100122,Ji-Paraná (RO),2014,129242
1100122,Ji-Paraná (RO),2015,130419
1100122,Ji-Paraná (RO),2016,131560
1100122,Ji-Paraná (RO),2017,132667
1100122,Ji-Paraná (RO),2018,127907
1100122,Ji-Paraná (RO),2019,128969
1100122,Ji-Paraná (RO),2020,130009
1100122,Ji-Paraná (RO),2021,131026
1100130,Machadinho D'Oeste (RO),2011,31780
1100130,Machadinho D'Oeste (RO),2012,32403
1100130,Machadinho D'Oeste (RO),2013,35633
1100130,Machadinho D'Oeste (RO),2014,36412
1100130,Machadinho D'Oeste (RO),2015,37167
1100130,Machadinho D'Oeste (RO),2016,37899
1100130,Machadinho D'Oeste (RO),2017,38609
1100130,Machadinho D'Oeste (RO),2018,39097
1100130,Machadinho D'Oeste (RO),2019,39991
1100130,Machadinho D'Oeste (RO),2020,40867
1100130,Machadinho D'Oeste (RO),2021,41724
1100148,Nova Brasilândia D'Oeste (RO),2011,19883
1100148,Nova Brasilândia D'Oeste (RO),2012,19891
1100148,Nova Brasilândia D'Oeste (RO),2013,21427
1100148,Nova Brasilândia D'Oeste (RO),2014,21511
1100148,Nova Brasilândia D'Oeste (RO),2015,21592
1100148,Nova Brasilândia D'Oeste (RO),2016,21670
1100148,Nova Brasilândia D'Oeste (RO),2017,21747
1100148,Nova Brasilândia D'Oeste (RO),2018,20459
1100148,Nova Brasilândia D'Oeste (RO),2019,20474
1100148,Nova Brasilândia D'Oeste (RO),2020,20489
1100148,Nova Brasilândia D'Oeste (RO),2021,20504
1100155,Ouro Preto do Oeste (RO),2011,37702
1100155,Ouro Preto do Oeste (RO),2012,37482
1100155,Ouro Preto do Oeste (RO),2013,40099
1100155,Ouro Preto do Oeste (RO),2014,40010
1100155,Ouro Preto do Oeste (RO),2015,39924
1100155,Ouro Preto do Oeste (RO),2016,39840
1100155,Ouro Preto do Oeste (RO),2017,39759
1100155,Ouro Preto do Oeste (RO),2018,36340
1100155,Ouro Preto do Oeste (RO),2019,36035
1100155,Ouro Preto do Oeste (RO),2020,35737
1100155,Ouro Preto do Oeste (RO),2021,35445
1100189,Pimenta Bueno (RO),2011,33981
1100189,Pimenta Bueno (RO),2012,34135
1100189,Pimenta Bueno (RO),2013,36939
1100189,Pimenta Bueno (RO),2014,37230
1100189,Pimenta Bueno (RO),2015,37512
1100189,Pimenta Bueno (RO),2016,37786
1100189,Pimenta Bueno (RO),2017,38051
1100189,Pimenta Bueno (RO),2018,36434
1100189,Pimenta Bueno (RO),2019,36660
1100189,Pimenta Bueno (RO),2020,36881
1100189,Pimenta Bueno (RO),2021,37098
1100205,Porto Velho (RO),2011,435732
1100205,Porto Velho (RO),2012,442701
1100205,Porto Velho (RO),2013,484992
1100205,Porto Velho (RO),2014,494013
1100205,Porto Velho (RO),2015,502748
1100205,Porto Velho (RO),2016,511219
1100205,Porto Velho (RO),2017,519436
1100205,Porto Velho (RO),2018,519531
1100205,Porto Velho (RO),2019,529544
1100205,Porto Velho (RO),2020,539354
1100205,Porto Velho (RO),2021,548952
1100254,Presidente Médici (RO),2011,22009
1100254,Presidente Médici (RO),2012,21709
1100254,Presidente Médici (RO),2013,23017
1100254,Presidente Médici (RO),2014,22783
1100254,Presidente Médici (RO),2015,22557
1100254,Presidente Médici (RO),2016,22337
1100254,Presidente Médici (RO),2017,22124
1100254,Presidente Médici (RO),2018,19409
1100254,Presidente Médici (RO),2019,18986
1100254,Presidente Médici (RO),2020,18571
1100254,Presidente Médici (RO),2021,18165
1100262,Rio Crespo (RO),2011,3346
1100262,Rio Crespo (RO),2012,3374
1100262,Rio Crespo (RO),2013,3666
1100262,Rio Crespo (RO),2014,3709
1100262,Rio Crespo (RO),2015,3750
1100262,Rio Crespo (RO),2016,3790
1100262,Rio Crespo (RO),2017,3829
1100262,Rio Crespo (RO),2018,3723
1100262,Rio Crespo (RO),2019,3764
1100262,Rio Crespo (RO),2020,3804
1100262,Rio Crespo (RO),2021,3843
1100288,Rolim de Moura (RO),2011,50899
1100288,Rolim de Moura (RO),2012,51142
1100288,Rolim de Moura (RO),2013,55357
1100288,Rolim de Moura (RO),2014,55807
1100288,Rolim de Moura (RO),2015,56242
1100288,Rolim de Moura (RO),2016,56664
1100288,Rolim de Moura (RO),2017,57074
1100288,Rolim de Moura (RO),2018,54702
1100288,Rolim de Moura (RO),2019,55058
1100288,Rolim de Moura (RO),2020,55407
1100288,Rolim de Moura (RO),2021,55748
1100296,Santa Luzia D'Oeste (RO),2011,8678
1100296,Santa Luzia D'Oeste (RO),2012,8476
1100296,Santa Luzia D'Oeste (RO),2013,8887
1100296,Santa Luzia D'Oeste (RO),2014,8706
1100296,Santa Luzia D'Oeste (RO),2015,8532
1100296,Santa Luzia D'Oeste (RO),2016,8362
1100296,Santa Luzia D'Oeste (RO),2017,8198
1100296,Santa Luzia D'Oeste (RO),2018,6781
1100296,Santa Luzia D'Oeste (RO),2019,6495
1100296,Santa Luzia D'Oeste (RO),2020,6216
1100296,Santa Luzia D'Oeste (RO),2021,5942
1100304,Vilhena (RO),2011,77937
1100304,Vilhena (RO),2012,79616
1100304,Vilhena (RO),2013,87727
1100304,Vilhena (RO),2014,89797
1100304,Vilhena (RO),2015,91801
1100304,Vilhena (RO),2016,93745
1100304,Vilhena (RO),2017,95630
1100304,Vilhena (RO),2018,97448
1100304,Vilhena (RO),2019,99854
1100304,Vilhena (RO),2020,102211
1100304,Vilhena (RO),2021,104517
1100320,São Miguel do Guaporé (RO),2011,21879
1100320,São Miguel do Guaporé (RO),2012,21927
1100320,São Miguel do Guaporé (RO),2013,23668
1100320,São Miguel do Guaporé (RO),2014,23803
1100320,São Miguel do Guaporé (RO),2015,23933
1100320,São Miguel do Guaporé (RO),2016,24059
1100320,São Miguel do Guaporé (RO),2017,24181
1100320,São Miguel do Guaporé (RO),2018,22931
1100320,São Miguel do Guaporé (RO),2019,23005
1100320,São Miguel do Guaporé (RO),2020,23077
1100320,São Miguel do Guaporé (RO),2021,23147
1100338,Nova Mamoré (RO),2011,23143
1100338,Nova Mamoré (RO),2012,23719
1100338,Nova Mamoré (RO),2013,26227
1100338,Nova Mamoré (RO),2014,26925
1100338,Nova Mamoré (RO),2015,27600
1100338,Nova Mamoré (RO),2016,28255
1100338,Nova Mamoré (RO),2017,28891
1100338,Nova Mamoré (RO),2018,29757
1100338,Nova Mamoré (RO),2019,30583
1100338,Nova Mamoré (RO),2020,31392
1100338,Nova Mamoré (RO),2021,32184
1100346,Alvorada D'Oeste (RO),2011,16625
1100346,Alvorada D'Oeste (RO),2012,16404
1100346,Alvorada D'Oeste (RO),2013,17399
1100346,Alvorada D'Oeste (RO),2014,17228
1100346,Alvorada D'Oeste (RO),2015,17063
1100346,Alvorada D'Oeste (RO),2016,16902
1100346,Alvorada D'Oeste (RO),2017,16747
1100346,Alvorada D'Oeste (RO),2018,14722
1100346,Alvorada D'Oeste (RO),2019,14411
1100346,Alvorada D'Oeste (RO),2020,14106
1100346,Alvorada D'Oeste (RO),2021,13807
1100379,Alto Alegre dos Parecis (RO),2011,12825
1100379,Alto Alegre dos Parecis (RO),2012,12833
1100379,Alto Alegre dos Parecis (RO),2013,13827
1100379,Alto Alegre dos Parecis (RO),2014,13884
1100379,Alto Alegre dos Parecis (RO),2015,13940
1100379,Alto Alegre dos Parecis (RO),2016,13993
1100379,Alto Alegre dos Parecis (RO),2017,14045
1100379,Alto Alegre dos Parecis (RO),2018,13227
1100379,Alto Alegre dos Parecis (RO),2019,13241
1100379,Alto Alegre dos Parecis (RO),2020,13255
1100379,Alto Alegre dos Parecis (RO),2021,13268
1100403,Alto Paraíso (RO),2011,17444
1100403,Alto Paraíso (RO),2012,17742
1100403,Alto Paraíso (RO),2013,19459
1100403,Alto Paraíso (RO),2014,19841
1100403,Alto Paraíso (RO),2015,20210
1100403,Alto Paraíso (RO),2016,20569
1100403,Alto Paraíso (RO),2017,20916
1100403,Alto Paraíso (RO),2018,20999
1100403,Alto Paraíso (RO),2019,21428
1100403,Alto Paraíso (RO),2020,21847
1100403,Alto Paraíso (RO),2021,22258
1100452,Buritis (RO),2011,32899
1100452,Buritis (RO),2012,33397
1100452,Buritis (RO),2013,36555
1100452,Buritis (RO),2014,37207
1100452,Buritis (RO),2015,37838
1100452,Buritis (RO),2016,38450
1100452,Buritis (RO),2017,39044
1100452,Buritis (RO),2018,38937
1100452,Buritis (RO),2019,39654
1100452,Buritis (RO),2020,40356
1100452,Buritis (RO),2021,41043
1100502,Novo Horizonte do Oeste (RO),2011,10084
1100502,Novo Horizonte do Oeste (RO),2012,9933
1100502,Novo Horizonte do Oeste (RO),2013,10515
1100502,Novo Horizonte do Oeste (RO),2014,10393
1100502,Novo Horizonte do Oeste (RO),2015,10276
1100502,Novo Horizonte do Oeste (RO),2016,10161
1100502,Novo Horizonte do Oeste (RO),2017,10051
1100502,Novo Horizonte do Oeste (RO),2018,8751
1100502,Novo Horizonte do Oeste (RO),2019,8538
1100502,Novo Horizonte do Oeste (RO),2020,8329
1100502,Novo Horizonte do Oeste (RO),2021,8125
1100601,Cacaulândia (RO),2011,5764
1100601,Cacaulândia (RO),2012,5791
